"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13112","東京都","世田谷区","赤堤","経堂","7",140000000,"2000000","","240",590000,"ほぼ長方形","13.1","","","","","住宅","南","区道",3.8,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
2,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","赤堤","豪徳寺","8",63000000,"","","75",,"ほぼ長方形","8.2","115","平成2年","ＲＣ","住宅、駐車場","住宅","北","私道",3.7,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
3,"中古マンション等","","13112","東京都","世田谷区","赤堤","豪徳寺","6",13000000,"","１Ｋ","15",,"","","","平成5年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
4,"中古マンション等","","13112","東京都","世田谷区","赤堤","豪徳寺","6",16000000,"","１Ｒ","15",,"","","","平成5年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
5,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","赤堤","下高井戸","7",76000000,"","","70",,"ほぼ整形","6.3","105","平成31年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
6,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","赤堤","下高井戸","6",80000000,"","","75",,"長方形","5.0","115","令和2年","木造","住宅","住宅","北","私道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
7,"宅地(土地)","住宅地","13112","東京都","世田谷区","赤堤","松原(東京)","6",84000000,"2300000","","120",700000,"ほぼ長方形","15.0","","","","","住宅","西","区道",4.4,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
8,"宅地(土地)","住宅地","13112","東京都","世田谷区","赤堤","松原(東京)","8",120000000,"1500000","","260",440000,"ほぼ長方形","","","","","","住宅","東","私道",4.0,"第１種低層住居専用地域",60,150,"2019年第３四半期","","私道を含む取引"
9,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","池尻","池尻大橋","8",580000000,"","","640",,"ほぼ長方形","35.0","1300","平成3年","ＳＲＣ","共同住宅","","南","区道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","池尻","池尻大橋","4",150000000,"","","140",,"ほぼ整形","","220","平成26年","木造","共同住宅","住宅","北","私道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
11,"宅地(土地)","住宅地","13112","東京都","世田谷区","池尻","池尻大橋","7",79000000,"2600000","","100",780000,"ほぼ整形","7.0","","","","","住宅","北","私道",2.5,"第１種住居地域",60,200,"2019年第３四半期","","私道を含む取引"
12,"宅地(土地)","商業地","13112","東京都","世田谷区","池尻","池尻大橋","11",300000000,"5900000","","165",1800000,"長方形","9.0","","","","","住宅","西","都道",20.0,"第１種住居地域",60,300,"2019年第３四半期","",""
13,"中古マンション等","","13112","東京都","世田谷区","池尻","池尻大橋","8",70000000,"","２ＬＤＫ","55",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
14,"中古マンション等","","13112","東京都","世田谷区","池尻","池尻大橋","7",20000000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
15,"中古マンション等","","13112","東京都","世田谷区","池尻","池ノ上","9",27000000,"","１ＤＫ","25",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2019年第３四半期","未改装",""
16,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","池尻","駒場東大前","10",63000000,"","","55",,"長方形","3.5","75","平成21年","木造","住宅","住宅","東","区道",4.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","","私道を含む取引"
17,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","宇奈根","二子玉川","30分?60分",52000000,"","","110",,"長方形","7.3","95","平成31年","木造","住宅","住宅","南東","区道",4.3,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
18,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","宇奈根","二子玉川","28",30000000,"","","280",,"袋地等","","95","昭和56年","木造","住宅","住宅","南東","道路",2.1,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
19,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","梅ケ丘","3",81000000,"","","220",,"不整形","","130","昭和63年","木造","住宅","住宅","東","区道",11.0,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
20,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","豪徳寺","5",81000000,"","","80",,"長方形","5.4","115","平成31年","木造","住宅","住宅","北","区道",3.7,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
21,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","梅丘","豪徳寺","5",85000000,"","","80",,"長方形","5.4","115","平成31年","木造","住宅","住宅","北","区道",3.7,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
22,"中古マンション等","","13112","東京都","世田谷区","梅丘","豪徳寺","8",52000000,"","","70",,"","","","","","","住宅","","",,"",,,"2019年第３四半期","未改装",""
23,"中古マンション等","","13112","東京都","世田谷区","梅丘","豪徳寺","6",25000000,"","１ＤＫ","25",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
24,"宅地(土地)","住宅地","13112","東京都","世田谷区","梅丘","若林(東京)","9",39000000,"2300000","","55",700000,"ほぼ長方形","6.3","","","","","住宅","南東","私道",3.8,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
25,"中古マンション等","","13112","東京都","世田谷区","大蔵","成城学園前","28",33000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
26,"中古マンション等","","13112","東京都","世田谷区","大蔵","成城学園前","28",29000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
27,"中古マンション等","","13112","東京都","世田谷区","大蔵","成城学園前","28",37000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2019年第３四半期","改装済",""
28,"中古マンション等","","13112","東京都","世田谷区","大蔵","祖師ケ谷大蔵","23",35000000,"","３ＬＤＫ","65",,"","","","","","住宅","住宅","","",,"",,,"2019年第３四半期","未改装",""
29,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","大原","代田橋","7",78000000,"","","180",,"ほぼ長方形","10.7","180","平成3年","木造","共同住宅","住宅","南東","区道",5.1,"第２種中高層住居専用地域",60,200,"2019年第３四半期","","私道を含む取引"
30,"宅地(土地)","住宅地","13112","東京都","世田谷区","大原","代田橋","8",140000000,"2200000","","210",660000,"ほぼ台形","14.0","","","","","住宅","西","区道",5.4,"第１種低層住居専用地域",50,150,"2019年第３四半期","",""
31,"宅地(土地)","住宅地","13112","東京都","世田谷区","大原","代田橋","2",82000000,"1900000","","140",580000,"ほぼ長方形","9.0","","","","","その他","南","私道",2.0,"近隣商業地域",80,300,"2019年第３四半期","",""
32,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","大原","代田橋","11",80000000,"","","65",,"長方形","10.9","100","令和2年","木造","住宅","住宅","東","区道",6.1,"第１種中高層住居専用地域",60,200,"2019年第３四半期","",""
33,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","2",24000000,"","１Ｋ","20",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第３四半期","改装済",""
34,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","6",24000000,"","１Ｋ","25",,"","","","平成15年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
35,"中古マンション等","","13112","東京都","世田谷区","大原","代田橋","2",24000000,"","１Ｋ","20",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第３四半期","",""
36,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","岡本","用賀","23",74000000,"","","125",,"不整形","","100","平成31年","木造","住宅","住宅","北","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
37,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","岡本","用賀","23",45000000,"","","95",,"ほぼ正方形","9.9","70","昭和53年","木造","住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
38,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","岡本","用賀","23",80000000,"","","120",,"長方形","","105","平成31年","木造","住宅","住宅","東","私道",5.0,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
39,"中古マンション等","","13112","東京都","世田谷区","岡本","用賀","14",43000000,"","１ＬＤＫ","55",,"","","","平成22年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第３四半期","未改装",""
40,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","4",130000000,"2700000","","150",830000,"長方形","8.8","","","","","住宅","西","区道",5.4,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
41,"宅地(土地と建物)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","3",140000000,"","","100",,"長方形","6.3","145","平成31年","木造","住宅","住宅","南","区道",4.4,"第１種住居地域",60,200,"2019年第３四半期","",""
42,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","4",110000000,"3600000","","100",1100000,"正方形","9.9","","","","","その他","北","区道",6.0,"第１種低層住居専用地域",60,150,"2019年第３四半期","",""
43,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","奥沢","4",79000000,"2800000","","90",850000,"ほぼ長方形","8.7","","","","","住宅","東","区道",5.4,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
44,"宅地(土地)","商業地","13112","東京都","世田谷区","奥沢","奥沢","5",65000000,"4200000","","50",1300000,"長方形","4.2","","","","","店舗","東","区道",6.4,"近隣商業地域",80,300,"2019年第３四半期","",""
45,"中古マンション等","","13112","東京都","世田谷区","奥沢","奥沢","3",13000000,"","１Ｋ","15",,"","","","昭和59年","ＲＣ","","その他","","",,"近隣商業地域",80,300,"2019年第３四半期","未改装",""
46,"宅地(土地)","住宅地","13112","東京都","世田谷区","奥沢","九品仏","1",81000000,"2600000","","100",800000,"袋地等","2.7","","","","","住宅","北","区道",5.9,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
